,Input,Output,InputVectors,OutputVectors,InputVectorsTensor,OutputVectorsTensor
0,A,B,"[1, 0, 0, 0, 0]","[2, 0, 0, 0, 0]",[1 0 0 0 0],[2 0 0 0 0]
1,B,C,"[2, 0, 0, 0, 0]","[3, 0, 0, 0, 0]",[2 0 0 0 0],[3 0 0 0 0]
2,C,D,"[3, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",[3 0 0 0 0],[4 0 0 0 0]
3,D,E,"[4, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",[4 0 0 0 0],[5 0 0 0 0]
4,E,F,"[5, 0, 0, 0, 0]","[6, 0, 0, 0, 0]",[5 0 0 0 0],[6 0 0 0 0]
5,F,G,"[6, 0, 0, 0, 0]","[7, 0, 0, 0, 0]",[6 0 0 0 0],[7 0 0 0 0]
6,G,H,"[7, 0, 0, 0, 0]","[8, 0, 0, 0, 0]",[7 0 0 0 0],[8 0 0 0 0]
7,H,I,"[8, 0, 0, 0, 0]","[9, 0, 0, 0, 0]",[8 0 0 0 0],[9 0 0 0 0]
8,I,J,"[9, 0, 0, 0, 0]","[10, 0, 0, 0, 0]",[9 0 0 0 0],[10  0  0  0  0]
9,J,K,"[10, 0, 0, 0, 0]","[11, 0, 0, 0, 0]",[10  0  0  0  0],[11  0  0  0  0]
10,K,L,"[11, 0, 0, 0, 0]","[12, 0, 0, 0, 0]",[11  0  0  0  0],[12  0  0  0  0]
11,L,M,"[12, 0, 0, 0, 0]","[13, 0, 0, 0, 0]",[12  0  0  0  0],[13  0  0  0  0]
12,M,N,"[13, 0, 0, 0, 0]","[14, 0, 0, 0, 0]",[13  0  0  0  0],[14  0  0  0  0]
13,N,O,"[14, 0, 0, 0, 0]","[15, 0, 0, 0, 0]",[14  0  0  0  0],[15  0  0  0  0]
14,O,P,"[15, 0, 0, 0, 0]","[16, 0, 0, 0, 0]",[15  0  0  0  0],[16  0  0  0  0]
15,P,Q,"[16, 0, 0, 0, 0]","[17, 0, 0, 0, 0]",[16  0  0  0  0],[17  0  0  0  0]
16,Q,R,"[17, 0, 0, 0, 0]","[18, 0, 0, 0, 0]",[17  0  0  0  0],[18  0  0  0  0]
17,R,S,"[18, 0, 0, 0, 0]","[19, 0, 0, 0, 0]",[18  0  0  0  0],[19  0  0  0  0]
18,S,T,"[19, 0, 0, 0, 0]","[20, 0, 0, 0, 0]",[19  0  0  0  0],[20  0  0  0  0]
19,T,U,"[20, 0, 0, 0, 0]","[21, 0, 0, 0, 0]",[20  0  0  0  0],[21  0  0  0  0]
20,U,V,"[21, 0, 0, 0, 0]","[22, 0, 0, 0, 0]",[21  0  0  0  0],[22  0  0  0  0]
21,V,W,"[22, 0, 0, 0, 0]","[23, 0, 0, 0, 0]",[22  0  0  0  0],[23  0  0  0  0]
22,W,X,"[23, 0, 0, 0, 0]","[24, 0, 0, 0, 0]",[23  0  0  0  0],[24  0  0  0  0]
23,X,Y,"[24, 0, 0, 0, 0]","[25, 0, 0, 0, 0]",[24  0  0  0  0],[25  0  0  0  0]
24,Y,Z,"[25, 0, 0, 0, 0]","[26, 0, 0, 0, 0]",[25  0  0  0  0],[26  0  0  0  0]
25,Z,A,"[26, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",[26  0  0  0  0],[1 0 0 0 0]
26,AB,CD,"[1, 2, 0, 0, 0]","[3, 4, 0, 0, 0]",[1 2 0 0 0],[3 4 0 0 0]
27,EF,GH,"[5, 6, 0, 0, 0]","[7, 8, 0, 0, 0]",[5 6 0 0 0],[7 8 0 0 0]
28,IJ,KL,"[9, 10, 0, 0, 0]","[11, 12, 0, 0, 0]",[ 9 10  0  0  0],[11 12  0  0  0]
29,MN,OP,"[13, 14, 0, 0, 0]","[15, 16, 0, 0, 0]",[13 14  0  0  0],[15 16  0  0  0]
30,QR,ST,"[17, 18, 0, 0, 0]","[19, 20, 0, 0, 0]",[17 18  0  0  0],[19 20  0  0  0]
31,UV,WX,"[21, 22, 0, 0, 0]","[23, 24, 0, 0, 0]",[21 22  0  0  0],[23 24  0  0  0]
32,YZ,AB,"[25, 26, 0, 0, 0]","[1, 2, 0, 0, 0]",[25 26  0  0  0],[1 2 0 0 0]
33,ABC,DEF,"[1, 2, 3, 0, 0]","[4, 5, 6, 0, 0]",[1 2 3 0 0],[4 5 6 0 0]
34,GHI,JKL,"[7, 8, 9, 0, 0]","[10, 11, 12, 0, 0]",[7 8 9 0 0],[10 11 12  0  0]
35,MNO,PQR,"[13, 14, 15, 0, 0]","[16, 17, 18, 0, 0]",[13 14 15  0  0],[16 17 18  0  0]
36,STU,VWX,"[19, 20, 21, 0, 0]","[22, 23, 24, 0, 0]",[19 20 21  0  0],[22 23 24  0  0]
37,ABCD,EFGH,"[1, 2, 3, 4, 0]","[5, 6, 7, 8, 0]",[1 2 3 4 0],[5 6 7 8 0]
38,IJKL,MNOP,"[9, 10, 11, 12, 0]","[13, 14, 15, 16, 0]",[ 9 10 11 12  0],[13 14 15 16  0]
39,QRST,UVWX,"[17, 18, 19, 20, 0]","[21, 22, 23, 24, 0]",[17 18 19 20  0],[21 22 23 24  0]
40,ABCDE,FGHIJ,"[1, 2, 3, 4, 5]","[6, 7, 8, 9, 10]",[1 2 3 4 5],[ 6  7  8  9 10]
41,KLMNO,PQRST,"[11, 12, 13, 14, 15]","[16, 17, 18, 19, 20]",[11 12 13 14 15],[16 17 18 19 20]
42,UVWXY,ZABCD,"[21, 22, 23, 24, 25]","[26, 1, 2, 3, 4]",[21 22 23 24 25],[26  1  2  3  4]
